method,model,n_stations,device,n_gpus,n_cpus,K,runtime_s,metric,success_rate,path,p_f1,s_f1
playback,PhaseNet,580,gpu,1,5,4.0,0.4422586,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNet/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.9733905579399142,0.9366438356164384
playback,PhaseNetLight,250,cpu,0,5,5.0,0.379089,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNetLight/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9409448818897638,0.9437751004016064
playback,PhaseNetLight,250,cpu,0,10,10.0,0.2705098,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNetLight/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9409448818897638,0.9437751004016064
playback,PhaseNetLight,250,gpu,1,5,4.0,0.2405348,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNetLight/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.9409448818897638,0.9437751004016064
playback,PhaseNetLight,580,cpu,0,5,5.0,0.7939856,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNetLight/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.958226768968457,0.9445407279029462
playback,PhaseNetLight,580,cpu,0,10,10.0,0.5586964,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNetLight/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.958226768968457,0.9445407279029462
playback,PhaseNetLight,580,cpu,0,20,20.0,0.5714132,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNetLight/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.958226768968457,0.9445407279029462
playback,PhaseNetLight,580,gpu,1,5,4.0,0.3885652,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNetLight/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.959114139693356,0.9436253252385083
staggered,EQCCT,250,cpu,0,5,5.0,14.439515,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma5_krp0/sg/staggered/eager/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
staggered,EQCCT,250,cpu,0,10,10.0,9.406748,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma10_krp0/sg/staggered/eager/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
staggered,EQCCT,250,cpu,0,20,20.0,8.617445,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma20_krp0/sg/staggered/eager/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
staggered,EQCCT,250,gpu,1,5,4.0,0.6809370499999998,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/gpu/kma4_krp0/sg/staggered/eager/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
staggered,EQCCT,580,cpu,0,5,5.0,36.729424,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma5_krp0/sg/staggered/eager/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
staggered,EQCCT,580,cpu,0,10,10.0,24.441817,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma10_krp0/sg/staggered/eager/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
staggered,EQCCT,580,cpu,0,20,20.0,34.43017389999999,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma20_krp0/sg/staggered/eager/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
staggered,EQCCT,580,gpu,1,5,4.0,1.2304070999999983,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/gpu/kma4_krp0/sg/staggered/eager/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
staggered,EQT-NC,250,cpu,0,5,5.0,4.403744,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/cpu/kma5_krp0/sg/staggered/eager/bs512/xfer/result.json,0.9083155650319829,0.962962962962963
staggered,EQT-NC,250,cpu,0,10,10.0,2.924047,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/cpu/kma10_krp0/sg/staggered/eager/bs512/xfer/result.json,0.9083155650319829,0.962962962962963
staggered,EQT-NC,250,gpu,1,5,4.0,0.69983085,p95_finish_minus_ready_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/gpu/kma4_krp0/sg/staggered/eager/bs512/xfer/result.json,0.9102564102564101,0.9670781893004115
